PACIFIC Exchange Rate Service / Weekly Averages
Jul.Day	YYYY/MM/DD	Wdy	JPY/USD
2449358	1994/01/05	Wed	112.572
2449365	1994/01/12	Wed	112.020
2449372	1994/01/19	Wed	111.088
2449379	1994/01/26	Wed	110.407
2449386	1994/02/02	Wed	108.414
2449393	1994/02/09	Wed	108.246
2449400	1994/02/16	Wed	104.032
2449407	1994/02/23	Wed	105.424
2449414	1994/03/02	Wed	104.386
2449421	1994/03/09	Wed	105.504
2449428	1994/03/16	Wed	105.947
2449435	1994/03/23	Wed	105.768
2449442	1994/03/30	Wed	103.352
2449449	1994/04/06	Wed	104.277
2449456	1994/04/13	Wed	103.674
2449463	1994/04/20	Wed	103.410
2449470	1994/04/27	Wed	102.441
2449477	1994/05/04	Wed	102.054
2449484	1994/05/11	Wed	104.034
2449491	1994/05/18	Wed	104.135
2449498	1994/05/25	Wed	104.495
2449505	1994/06/01	Wed	104.854
2449512	1994/06/08	Wed	104.480
2449519	1994/06/15	Wed	102.879
2449526	1994/06/22	Wed	101.074
2449533	1994/06/29	Wed	99.117
2449540	1994/07/06	Wed	98.588
2449547	1994/07/13	Wed	97.716
2449554	1994/07/20	Wed	98.665
2449561	1994/07/27	Wed	98.844
2449568	1994/08/03	Wed	100.121
2449575	1994/08/10	Wed	100.971
2449582	1994/08/17	Wed	99.598
2449589	1994/08/24	Wed	99.007
2449596	1994/08/31	Wed	99.689
2449603	1994/09/07	Wed	99.152
2449610	1994/09/14	Wed	98.995
2449617	1994/09/21	Wed	97.986
2449624	1994/09/28	Wed	98.658
2449631	1994/10/05	Wed	99.733
2449638	1994/10/12	Wed	99.595
2449645	1994/10/19	Wed	97.447
2449652	1994/10/26	Wed	97.056
2449659	1994/11/02	Wed	97.261
2449666	1994/11/09	Wed	97.454
2449673	1994/11/16	Wed	98.242
2449680	1994/11/23	Wed	98.383
2449687	1994/11/30	Wed	99.234
2449694	1994/12/07	Wed	100.250
2449701	1994/12/14	Wed	100.208
2449708	1994/12/21	Wed	100.211
2449715	1994/12/28	Wed	99.996
2449722	1995/01/04	Wed	101.037
2449729	1995/01/11	Wed	99.619
2449736	1995/01/18	Wed	99.155
2449743	1995/01/25	Wed	99.512
2449750	1995/02/01	Wed	99.257
2449757	1995/02/08	Wed	99.042
2449764	1995/02/15	Wed	98.151
2449771	1995/02/22	Wed	97.054
2449778	1995/03/01	Wed	96.034
2449785	1995/03/08	Wed	91.251
2449792	1995/03/15	Wed	90.034
2449799	1995/03/22	Wed	89.006
