Date,Open,High,Low,Close,Adj Close,Volume
1989-12-31,38921.648438,38950.769531,38090.511719,38274.761719,38274.761719,0
1990-01-07,38331.628906,38564.230469,37460.289063,37516.769531,37516.769531,0
1990-01-14,37469.410156,37469.410156,36365.171875,36836.539063,36836.539063,0
1990-01-21,36853.109375,37462.839844,36683.269531,36874.070313,36874.070313,0
1990-01-28,36912.511719,37665.058594,36912.511719,37650.148438,37650.148438,0
1990-02-04,37676.839844,37886.691406,37180.808594,37288.140625,37288.140625,0
1990-02-11,37319.531250,37673.500000,37018.250000,37460.320313,37460.320313,0
1990-02-18,37496.031250,37610.519531,34840.980469,34890.968750,34890.968750,0
1990-02-25,34863.078125,34863.078125,32443.179688,34057.558594,34057.558594,0
1990-03-04,34072.488281,34319.808594,32971.421875,33993.121094,33993.121094,0
1990-03-11,33985.460938,34005.699219,32279.539063,32616.439453,32616.439453,0
1990-03-18,32609.269531,32721.439453,28830.369141,30372.160156,30372.160156,0
1990-03-25,30378.160156,32164.359375,29827.640625,29980.449219,29980.449219,0
1990-04-01,29979.960938,29979.960938,27251.039063,29278.779297,29278.779297,0
1990-04-08,29297.730469,30524.189453,28953.500000,29213.919922,29213.919922,0
1990-04-15,29153.009766,30200.490234,28335.929688,29835.439453,29835.439453,0
1990-04-22,29834.449219,29953.410156,29285.089844,29584.800781,29584.800781,0
1990-04-29,29593.580078,30173.640625,29519.250000,30173.640625,30173.640625,0
1990-05-06,30211.550781,31513.130859,30211.550781,31512.140625,31512.140625,0
1990-05-13,31541.949219,32323.300781,31541.949219,32013.720703,32013.720703,0
1990-05-20,31987.359375,32838.890625,31599.699219,32793.878906,32793.878906,0
1990-05-27,32838.800781,33227.941406,32465.349609,32891.121094,32891.121094,0
1990-06-03,32910.761719,33344.921875,32838.988281,32993.289063,32993.289063,0
1990-06-10,32963.968750,32963.968750,32190.519531,32538.400391,32538.400391,0
1990-06-17,32530.310547,32634.349609,31644.519531,31694.570313,31694.570313,0
1990-06-24,31637.710938,32342.980469,31086.339844,31940.240234,31940.240234,0
1990-07-01,31924.029297,32627.380859,31766.080078,32445.119141,32445.119141,0
1990-07-08,32457.570313,32767.859375,32144.130859,32644.369141,32644.369141,0
1990-07-15,32677.859375,33186.800781,32416.769531,32421.519531,32421.519531,0
1990-07-22,32421.119141,32421.119141,30377.949219,30863.480469,30863.480469,0
1990-07-29,30846.490234,31371.529297,29515.759766,29515.759766,29515.759766,0
1990-08-05,29486.119141,29486.119141,27168.230469,27329.550781,27329.550781,0
1990-08-12,27282.130859,28158.849609,25913.759766,26786.720703,26786.720703,0
1990-08-19,26759.660156,26956.140625,23547.269531,24165.759766,24165.759766,0
1990-08-26,24183.439453,26183.439453,24183.439453,25978.369141,25978.369141,0
1990-09-02,26014.130859,26163.490234,23405.710938,23962.070313,23962.070313,0
1990-09-09,23997.230469,25487.800781,23997.230469,24897.460938,24897.460938,0
1990-09-16,24888.669922,24888.669922,23049.990234,23777.830078,23777.830078,0
1990-09-23,23762.029297,23762.029297,20671.009766,20983.500000,20983.500000,0
1990-09-30,20986.070313,23462.890625,19781.699219,22827.650391,22827.650391,0
1990-10-07,22857.589844,23971.439453,22131.830078,22390.160156,22390.160156,0
1990-10-14,22404.089844,25003.169922,22404.089844,24481.490234,24481.490234,0
1990-10-21,24489.509766,25485.849609,24489.509766,25005.640625,25005.640625,0
1990-10-28,25004.359375,25444.919922,23671.980469,24194.990234,24194.990234,0
1990-11-04,24232.009766,24645.250000,22482.039063,22931.800781,22931.800781,0
1990-11-11,22938.730469,24045.830078,22874.390625,23171.630859,23171.630859,0
1990-11-18,23192.619141,23518.160156,22615.259766,23400.279297,23400.279297,0
1990-11-25,23416.779297,23767.060547,21933.990234,22454.630859,22454.630859,0
1990-12-02,22456.869141,23538.240234,21626.640625,23522.490234,23522.490234,0
1990-12-09,23564.640625,24642.970703,23350.869141,24349.500000,24349.500000,0
1990-12-16,24326.910156,25063.859375,23963.919922,24119.599609,24119.599609,0
1990-12-23,24089.929688,24263.630859,23695.470703,23848.710938,23848.710938,0
1990-12-30,23827.480469,24109.890625,23796.359375,24069.179688,24069.179688,0
1991-01-06,24036.990234,24036.990234,22662.490234,23241.019531,23241.019531,0
1991-01-13,23197.960938,24050.300781,22099.519531,23808.300781,23808.300781,0
1991-01-20,23755.259766,23755.259766,22951.560547,23573.250000,23573.250000,0
1991-01-27,23574.919922,23654.689453,22859.650391,23156.699219,23156.699219,0
1991-02-03,23178.820313,24384.070313,23134.679688,24296.080078,24296.080078,0
1991-02-10,24333.070313,25406.279297,24333.070313,25343.740234,25343.740234,0
1991-02-17,25378.390625,26481.750000,25378.390625,25902.810547,25902.810547,0
1991-02-24,25908.189453,26709.800781,25852.109375,25881.570313,25881.570313,0
1991-03-03,25851.910156,26607.519531,25812.570313,26607.519531,26607.519531,0
1991-03-10,26630.029297,27003.429688,26366.449219,26843.099609,26843.099609,0
1991-03-17,26916.220703,27270.330078,26448.570313,26613.189453,26613.189453,0
1991-03-24,26602.619141,26802.779297,25785.970703,26292.039063,26292.039063,0
1991-03-31,26237.789063,26803.429688,25913.599609,26767.330078,26767.330078,0
1991-04-07,26765.259766,26825.330078,26190.550781,26582.500000,26582.500000,0
1991-04-14,26620.080078,27092.019531,26516.820313,26541.970703,26541.970703,0
1991-04-21,26492.449219,26585.660156,25994.279297,26123.679688,26123.679688,0
1991-04-28,26147.349609,26648.580078,26094.089844,26477.859375,26477.859375,0
1991-05-05,26500.150391,26523.619141,26178.220703,26274.289063,26274.289063,0
1991-05-12,26215.009766,26338.490234,25497.480469,25701.939453,25701.939453,0
1991-05-19,25731.039063,25768.519531,25227.640625,25529.140625,25529.140625,0
1991-05-26,25543.740234,25901.470703,25340.960938,25789.619141,25789.619141,0
1991-06-02,25840.910156,26017.160156,24912.119141,25035.109375,25035.109375,0
1991-06-09,25001.080078,25135.810547,24334.349609,25093.890625,25093.890625,0
1991-06-16,25089.750000,25100.310547,23885.289063,24275.080078,24275.080078,0
1991-06-23,24263.039063,24263.039063,23214.570313,23290.960938,23290.960938,0
1991-06-30,23376.529297,24322.439453,22898.339844,22898.339844,22898.339844,0
1991-07-07,22884.820313,23179.230469,21731.150391,23137.779297,23137.779297,0
1991-07-14,23193.939453,23598.300781,22659.890625,22866.359375,22866.359375,0
1991-07-21,22873.960938,23675.400391,22540.560547,23519.070313,23519.070313,0
1991-07-28,23545.750000,24156.519531,23418.080078,24027.970703,24027.970703,0
1991-08-04,24040.529297,24084.310547,23372.740234,23434.619141,23434.619141,0
1991-08-11,23414.550781,23414.550781,22797.570313,22814.369141,22814.369141,0
1991-08-18,22778.589844,22778.589844,21309.480469,22065.339844,22065.339844,0
1991-08-25,22064.449219,22350.000000,21459.230469,22335.869141,22335.869141,0
1991-09-01,22328.849609,22998.910156,22175.050781,22692.599609,22692.599609,0
1991-09-08,22726.500000,23134.429688,22270.140625,23134.429688,23134.429688,0
1991-09-15,23182.169922,23581.599609,23179.400391,23192.740234,23192.740234,0
1991-09-22,23190.869141,24157.609375,23182.859375,23969.470703,23969.470703,0
1991-09-29,23958.859375,24746.230469,23861.669922,24596.900391,24596.900391,0
1991-10-06,24559.519531,24559.519531,24114.640625,24157.720703,24157.720703,0
1991-10-13,24126.240234,24897.919922,23860.669922,24894.820313,24894.820313,0
1991-10-20,24945.660156,25101.480469,24716.369141,24906.429688,24906.429688,0
1991-10-27,24911.630859,25254.800781,24864.089844,25044.240234,25044.240234,0
1991-11-03,25059.750000,25100.679688,24389.109375,24486.490234,24486.490234,0
1991-11-10,24437.849609,24814.349609,23993.289063,24099.179688,24099.179688,0
1991-11-17,24010.910156,24010.910156,22925.039063,23117.390625,23117.390625,0
1991-11-24,23077.960938,23307.849609,22538.330078,22687.349609,22687.349609,0
1991-12-01,22645.519531,22737.390625,21923.240234,22445.060547,22445.060547,0
1991-12-08,22435.050781,22758.609375,21123.900391,22754.900391,22754.900391,0
1991-12-15,22767.410156,22996.099609,21768.009766,21777.119141,21777.119141,0
1991-12-22,21819.759766,22813.310547,21452.259766,22437.320313,22437.320313,0
1991-12-29,22507.970703,23022.349609,22507.970703,22983.769531,22983.769531,0
1992-01-05,23030.660156,23901.890625,22203.029297,22381.900391,22381.900391,0
1992-01-12,22299.630859,22299.630859,21145.710938,21321.369141,21321.369141,0
1992-01-19,21348.929688,21794.169922,20638.039063,21072.150391,21072.150391,0
1992-01-26,21061.429688,22343.220703,20859.609375,22023.050781,22023.050781,0
1992-02-02,22075.859375,22373.080078,21836.160156,22107.119141,22107.119141,0
1992-02-09,22054.109375,22054.109375,20883.859375,20883.859375,20883.859375,0
1992-02-16,20850.890625,21325.679688,20485.720703,21291.810547,21291.810547,0
1992-02-23,21286.699219,21547.650391,20743.560547,21338.810547,21338.810547,0
1992-03-01,21348.130859,21550.859375,20841.470703,20992.990234,20992.990234,0
1992-03-08,20989.779297,20989.779297,20168.150391,20456.060547,20456.060547,0
1992-03-15,20442.529297,20442.529297,19490.529297,20185.089844,20185.089844,0
1992-03-22,20235.089844,20434.710938,19587.109375,19636.990234,19636.990234,0
1992-03-29,19615.109375,19914.689453,17846.550781,18559.710938,18559.710938,0
1992-04-05,18597.050781,18670.810547,16598.150391,17850.660156,17850.660156,0
1992-04-12,17880.369141,18192.890625,16879.970703,17580.689453,17580.689453,0
1992-04-19,17548.070313,17563.029297,16572.460938,17542.449219,17542.449219,0
1992-04-26,17524.890625,17615.720703,17273.380859,17303.390625,17303.390625,0
1992-05-03,17325.769531,18500.000000,17325.769531,18375.949219,18375.949219,0
1992-05-10,18407.869141,19003.609375,18034.019531,18074.269531,18074.269531,0
1992-05-17,18128.160156,18927.640625,18128.160156,18221.000000,18221.000000,0
1992-05-24,18221.699219,18555.000000,17648.029297,18347.750000,18347.750000,0
1992-05-31,18327.679688,18502.609375,17724.310547,17790.039063,17790.039063,0
1992-06-07,17795.560547,17972.199219,17331.490234,17383.679688,17383.679688,0
1992-06-14,17339.419922,17339.419922,16030.910156,16519.869141,16519.869141,0
1992-06-21,16569.550781,16649.640625,15733.139648,15812.730469,15812.730469,0
1992-06-28,15835.410156,16956.039063,15641.610352,16717.779297,16717.779297,0
1992-07-05,16716.080078,17023.890625,16271.679688,16783.720703,16783.720703,0
1992-07-12,16796.470703,17274.490234,16548.070313,16548.070313,16548.070313,0
1992-07-19,16489.859375,16489.859375,15333.000000,15497.790039,15497.790039,0
1992-07-26,15533.019531,15974.309570,15024.589844,15910.280273,15910.280273,0
1992-08-02,15902.750000,16138.500000,15451.320313,15518.269531,15518.269531,0
1992-08-09,15470.790039,15470.790039,14657.269531,14820.250000,14820.250000,0
1992-08-16,14854.580078,16216.879883,14194.400391,16216.879883,16216.879883,0
1992-08-23,16252.610352,18168.810547,16166.400391,17970.789063,17970.789063,0
1992-08-30,17935.369141,18833.500000,17396.429688,18555.300781,18555.300781,0
1992-09-06,18576.679688,19284.119141,18097.550781,18107.689453,18107.689453,0
1992-09-13,18149.339844,18552.789063,17758.130859,18166.800781,18166.800781,0
1992-09-20,18215.679688,18701.949219,17993.980469,18394.759766,18394.759766,0
1992-09-27,18383.830078,18397.470703,17104.210938,17324.070313,17324.070313,0
1992-10-04,17265.199219,17531.089844,16901.599609,17059.779297,17059.779297,0
1992-10-11,17094.380859,17714.039063,17086.660156,17369.810547,17369.810547,0
1992-10-18,17331.589844,17331.589844,16821.359375,17117.650391,17117.650391,0
1992-10-25,17124.570313,17306.019531,16675.230469,16767.400391,16767.400391,0
1992-11-01,16732.500000,17122.669922,16616.750000,16869.810547,16869.810547,0
1992-11-08,16825.480469,16825.480469,16089.370117,16330.790039,16330.790039,0
1992-11-15,16314.940430,17188.369141,15941.929688,17033.599609,17033.599609,0
1992-11-22,17094.980469,17601.910156,17025.980469,17470.609375,17470.609375,0
1992-11-29,17505.320313,17704.009766,17186.859375,17295.689453,17295.689453,0
1992-12-06,17304.910156,17704.710938,17135.810547,17441.019531,17441.019531,0
1992-12-13,17421.970703,17712.039063,17209.529297,17680.740234,17680.740234,0
1992-12-20,17718.359375,17787.560547,17528.140625,17557.039063,17557.039063,0
1992-12-27,17538.880859,17538.880859,16891.939453,16924.949219,16924.949219,0
1993-01-03,16980.230469,17058.189453,16634.490234,16634.689453,16634.689453,0
1993-01-10,16644.830078,16734.019531,16437.839844,16515.599609,16515.599609,0
1993-01-17,16525.630859,16841.779297,16335.809570,16336.809570,16336.809570,0
1993-01-24,16355.469727,17177.689453,16216.110352,17023.779297,17023.779297,0
1993-01-31,17037.519531,17419.179688,16957.560547,17332.900391,17332.900391,0
1993-02-07,17357.480469,17393.199219,16851.509766,16851.509766,16851.509766,0
1993-02-14,16883.619141,17172.369141,16760.810547,17010.029297,17010.029297,0
1993-02-21,17006.619141,17058.589844,16750.880859,16953.349609,16953.349609,0
1993-02-28,16956.460938,16971.000000,16721.480469,16817.699219,16817.699219,0
1993-03-07,16855.619141,18104.650391,16855.619141,18037.519531,18037.519531,0
1993-03-14,18028.900391,18835.960938,17945.220703,18537.169922,18537.169922,0
1993-03-21,18559.849609,18897.609375,18423.400391,18788.699219,18788.699219,0
1993-03-28,18829.550781,19750.929688,18526.650391,19446.939453,19446.939453,0
1993-04-04,19457.679688,20126.089844,19357.900391,19892.179688,19892.179688,0
1993-04-11,19908.839844,20874.710938,19724.529297,20297.859375,20297.859375,0
1993-04-18,20254.089844,20332.199219,19554.859375,19704.150391,19704.150391,0
1993-04-25,19703.539063,20919.179688,19562.900391,20919.179688,20919.179688,0
1993-05-02,20939.460938,20941.970703,20491.919922,20811.359375,20811.359375,0
1993-05-09,20816.480469,21224.779297,20401.669922,20474.150391,20474.150391,0
1993-05-16,20528.060547,20689.490234,20122.779297,20557.470703,20557.470703,0
1993-05-23,20633.669922,21105.910156,20453.570313,20843.689453,20843.689453,0
1993-05-30,20829.539063,21222.769531,20469.830078,20882.240234,20882.240234,0
1993-06-06,20900.910156,21101.800781,20399.560547,20500.949219,20500.949219,0
1993-06-13,20529.160156,20560.080078,19647.419922,19804.539063,19804.539063,0
1993-06-20,19742.400391,19845.000000,19039.550781,19659.570313,19659.570313,0
1993-06-27,19675.130859,19976.609375,19433.990234,19621.460938,19621.460938,0
1993-07-04,19651.869141,19946.789063,19545.449219,19877.390625,19877.390625,0
1993-07-11,19934.990234,20394.640625,19889.890625,20331.529297,20331.529297,0
1993-07-18,20347.330078,20350.339844,19733.769531,19734.570313,19734.570313,0
1993-07-25,19770.380859,20545.750000,19707.970703,20380.140625,20380.140625,0
1993-08-01,20392.740234,20667.869141,20231.320313,20357.939453,20357.939453,0
1993-08-08,20339.830078,20939.390625,20339.830078,20745.169922,20745.169922,0
1993-08-15,20692.769531,21025.599609,20548.849609,20607.259766,20607.259766,0
1993-08-22,20595.259766,20863.390625,20344.830078,20791.679688,20791.679688,0
1993-08-29,20816.779297,21281.029297,20747.669922,21116.210938,21116.210938,0
1993-09-05,21163.820313,21249.919922,20686.470703,20817.980469,20817.980469,0
1993-09-12,20850.089844,21171.720703,20305.330078,20391.039063,20391.039063,0
1993-09-19,20395.640625,20564.859375,20112.109375,20307.529297,20307.529297,0
1993-09-26,20315.630859,20384.439453,19927.689453,20283.130859,20283.130859,0
1993-10-03,20262.029297,20529.550781,20151.320313,20378.640625,20378.640625,0
1993-10-10,20376.339844,20376.339844,19911.890625,20174.419922,20174.419922,0
1993-10-17,20208.619141,20377.839844,20042.400391,20264.830078,20264.830078,0
1993-10-24,20342.429688,20473.849609,19443.539063,19702.970703,19702.970703,0
1993-10-31,19656.970703,19656.970703,18470.349609,18590.460938,18590.460938,0
1993-11-07,18603.560547,18671.669922,17818.279297,18493.550781,18493.550781,0
1993-11-14,18489.050781,18506.949219,17877.689453,17941.189453,17941.189453,0
1993-11-21,17905.589844,17905.589844,16675.769531,16726.369141,16726.369141,0
1993-11-28,16688.570313,17887.289063,15671.969727,17459.349609,17459.349609,0
1993-12-05,17425.140625,17534.849609,16216.820313,17257.429688,17257.429688,0
1993-12-12,17246.919922,18052.210938,17123.810547,18051.910156,18051.910156,0
1993-12-19,18025.800781,18025.800781,17037.099609,17141.109375,17141.109375,0
1993-12-26,17081.509766,17417.240234,16633.660156,17417.240234,17417.240234,0
1994-01-02,17421.640625,18131.410156,17242.320313,18124.009766,18124.009766,0
1994-01-09,18186.519531,19043.800781,18186.519531,18973.699219,18973.699219,0
1994-01-16,18911.890625,19341.730469,18514.550781,19307.429688,19307.429688,0
1994-01-23,19294.429688,19324.730469,18320.330078,18757.880859,18757.880859,0
1994-01-30,18790.779297,20509.949219,18790.779297,20301.429688,20301.429688,0
1994-02-06,20254.929688,20526.449219,19650.970703,19990.699219,19990.699219,0
1994-02-13,19938.990234,19938.990234,18768.980469,18959.599609,18959.599609,0
1994-02-20,18908.789063,19890.890625,18826.679688,19803.380859,19803.380859,0
1994-02-27,19848.580078,20240.919922,19531.650391,19966.000000,19966.000000,0
1994-03-06,19979.099609,20279.130859,19665.669922,20115.310547,20115.310547,0
1994-03-13,20157.720703,20781.980469,20157.720703,20469.449219,20469.449219,0
1994-03-20,20458.550781,20458.550781,19771.679688,19836.480469,19836.480469,0
1994-03-27,19819.960938,20062.910156,19082.820313,19277.160156,19277.160156,0
1994-04-03,19232.849609,19973.289063,18896.480469,19934.990234,19934.990234,0
1994-04-10,19948.890625,20282.160156,19647.630859,20164.630859,20164.630859,0
1994-04-17,20222.439453,20494.599609,19793.560547,19964.390625,19964.390625,0
1994-04-24,19921.480469,19921.480469,19512.400391,19725.250000,19725.250000,0
1994-05-01,19648.529297,19907.980469,19488.900391,19862.470703,19862.470703,0
1994-05-08,19820.859375,20360.369141,19721.039063,20270.750000,20270.750000,0
1994-05-15,20318.060547,20438.390625,19965.789063,20342.169922,20342.169922,0
1994-05-22,20385.779297,20824.560547,20328.070313,20777.160156,20777.160156,0
1994-05-29,20835.669922,21198.740234,20802.460938,20954.189453,20954.189453,0
1994-06-05,20954.789063,21559.810547,20707.539063,21395.179688,21395.179688,0
1994-06-12,21378.380859,21573.210938,21234.650391,21503.300781,21503.300781,0
1994-06-19,21515.599609,21515.599609,20371.369141,20766.750000,20766.750000,0
1994-06-26,20649.529297,20732.550781,20168.529297,20543.410156,20543.410156,0
1994-07-03,20598.919922,20907.580078,20440.089844,20526.509766,20526.509766,0
1994-07-10,20467.589844,20877.980469,20294.060547,20770.150391,20770.150391,0
