Date,Open,High,Low,Close,Adj Close,Volume
1990-12-30,127.610001,131.440002,127.610001,131.440002,131.440002,0
1991-01-06,132.059998,134.600006,132.059998,134.600006,134.600006,0
1991-01-13,134.669998,134.740005,134.240005,134.240005,134.240005,0
1991-01-20,134.240005,134.240005,132.050003,132.050003,132.050003,0
1991-01-27,131.460007,131.460007,129.509995,129.509995,129.509995,0
1991-02-03,129.050003,130.380005,128.580002,130.380005,130.380005,0
1991-02-10,130.970001,132.529999,130.970001,132.529999,132.529999,0
1991-02-17,133.130005,134.869995,133.130005,134.869995,134.869995,0
1991-02-24,134.399994,134.399994,132.529999,132.529999,132.529999,0
1991-03-03,131.990005,131.990005,129.889999,129.889999,129.889999,0
1991-03-10,129.309998,129.309998,125.169998,125.169998,125.169998,0
1991-03-17,124.709999,124.709999,122.620003,122.620003,122.620003,0
1991-03-24,122.120003,122.120003,120.190002,120.190002,120.190002,0
1991-03-31,120.730003,121.720001,120.730003,121.540001,121.540001,0
1991-04-07,121.089996,121.089996,119.209999,119.209999,119.209999,0
1991-04-14,118.769997,118.769997,117.080002,117.080002,117.080002,0
1991-04-21,116.629997,116.629997,115.360001,115.559998,115.559998,0
1991-04-28,114.750000,114.750000,112.410004,112.410004,112.410004,0
1991-05-05,111.610001,111.610001,108.529999,108.529999,108.529999,0
1991-05-12,107.839996,107.839996,105.769997,106.750000,106.750000,0
1991-05-19,107.820000,110.080002,107.820000,110.080002,110.080002,0
1991-05-26,110.660004,114.830002,110.660004,114.830002,114.830002,0
1991-06-02,115.970001,120.470001,115.970001,120.470001,120.470001,0
1991-06-09,121.669998,125.339996,121.669998,124.529999,124.529999,0
1991-06-16,125.769997,130.860001,125.769997,130.860001,130.860001,0
1991-06-23,132.169998,137.559998,132.169998,137.559998,137.559998,0
1991-06-30,136.850006,136.850006,135.270004,135.960007,135.960007,0
1991-07-07,135.279999,135.279999,132.800003,132.800003,132.800003,0
1991-07-14,133.139999,137.169998,133.139999,136.699997,136.699997,0
1991-07-21,138.070007,140.679993,138.070007,140.660004,140.660004,0
1991-07-28,141.520004,146.679993,141.520004,146.679993,146.679993,0
1991-08-04,148.149994,154.100006,148.149994,154.100006,154.100006,0
1991-08-11,155.539993,161.600006,155.539993,161.600006,161.600006,0
1991-08-18,163.210007,169.809998,163.210007,169.809998,169.809998,0
1991-08-25,171.509995,178.429993,171.509995,178.429993,178.429993,0
1991-09-01,180.220001,187.360001,180.220001,187.360001,187.360001,0
1991-09-08,189.240005,189.240005,186.220001,187.789993,187.789993,0
1991-09-15,189.660004,189.660004,185.919998,185.919998,185.919998,0
1991-09-22,185.000000,185.000000,181.820007,181.820007,181.820007,0
1991-09-29,180.919998,184.289993,180.919998,184.289993,184.289993,0
1991-10-06,186.000000,192.850006,186.000000,192.850006,192.850006,0
1991-10-13,194.669998,202.509995,194.669998,202.509995,202.509995,0
1991-10-20,204.529999,211.860001,204.529999,211.860001,211.860001,0
1991-10-27,213.979996,220.720001,213.979996,220.720001,220.720001,0
1991-11-03,222.770004,231.220001,222.770004,231.220001,231.220001,0
1991-11-10,233.550003,238.250000,233.550003,238.250000,238.250000,0
1991-11-17,240.619995,248.529999,240.619995,248.529999,248.529999,0
1991-11-24,250.850006,259.600006,250.850006,259.600006,259.600006,0
1991-12-01,262.190002,269.350006,262.190002,269.350006,269.350006,0
1991-12-08,270.269989,277.000000,270.269989,277.000000,277.000000,0
1991-12-15,277.850006,282.829987,277.850006,282.829987,282.829987,0
1991-12-22,285.649994,290.850006,285.649994,290.850006,290.850006,0
1991-12-29,291.709991,296.519989,291.709991,296.519989,296.519989,0
1992-01-05,297.679993,301.829987,297.679993,301.829987,301.829987,0
1992-01-12,303.059998,307.380005,303.059998,307.380005,307.380005,0
1992-01-19,307.390015,309.049988,307.390015,309.049988,309.049988,0
1992-01-26,311.609985,313.239990,311.609985,313.239990,313.239990,0
1992-02-02,314.179993,314.720001,314.179993,314.720001,314.720001,0
1992-02-09,315.559998,319.679993,315.559998,319.679993,319.679993,0
1992-02-16,319.769989,359.589996,319.769989,359.589996,359.589996,0
1992-02-23,360.500000,364.660004,360.100006,364.660004,364.660004,0
1992-03-01,365.390015,371.760010,365.390015,371.760010,371.760010,0
1992-03-08,373.529999,376.920013,373.529999,376.380005,376.380005,0
1992-03-15,377.049988,377.989990,377.049988,377.989990,377.989990,0
1992-03-22,378.890015,380.769989,378.119995,380.769989,380.769989,0
1992-03-29,381.440002,381.440002,381.010010,381.329987,381.329987,0
1992-04-05,381.470001,382.429993,381.470001,382.029999,382.029999,0
1992-04-12,391.109985,414.420013,391.109985,414.420013,414.420013,0
1992-04-19,413.850006,414.399994,399.880005,414.399994,414.399994,0
