Date,Open,High,Low,Close,Adj Close,Volume
2004-01-04,1568.899048,1618.764038,1557.927002,1581.465942,1581.465942,123600
2004-01-11,1579.875000,1627.485962,1573.770020,1600.425049,1600.425049,109000
2004-01-18,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
2004-01-25,1600.430054,1634.412964,1589.401001,1590.729004,1590.729004,42400
2004-02-01,1630.654053,1705.907959,1585.958008,1679.192993,1679.192993,159000
2004-02-08,1679.581055,1715.463989,1653.239990,1658.538940,1658.538940,130000
2004-02-15,1661.452026,1728.021973,1661.452026,1721.751953,1721.751953,132800
2004-02-22,1725.593994,1730.279053,1628.839966,1675.067017,1675.067017,123200
2004-02-29,1676.222046,1694.814941,1642.625000,1662.095947,1662.095947,93600
2004-03-07,1660.641968,1699.249023,1634.709961,1694.743042,1694.743042,83000
2004-03-14,1696.942017,1755.100952,1696.823975,1747.871948,1747.871948,105200
2004-03-21,1749.708984,1760.076050,1720.875977,1734.046997,1734.046997,86400
2004-03-28,1734.589966,1771.671997,1711.663940,1768.645020,1768.645020,85600
2004-04-04,1771.737061,1783.006958,1721.589966,1727.348022,1727.348022,116000
2004-04-11,1717.203003,1734.917969,1656.302002,1693.860962,1693.860962,90000
2004-04-18,1695.333008,1698.691040,1632.558960,1635.500977,1635.500977,66600
2004-04-25,1633.269043,1644.501953,1572.229980,1595.587036,1595.587036,61400
2004-05-02,1595.589966,1595.589966,1595.589966,1595.589966,1595.589966,0
2004-05-09,1600.625977,1606.072021,1545.630981,1562.687988,1562.687988,45200
2004-05-16,1556.672974,1575.378052,1526.238037,1558.329956,1558.329956,50400
2004-05-23,1559.552002,1562.332031,1508.645020,1548.722046,1548.722046,44800
2004-05-30,1549.031006,1580.569946,1534.991943,1542.086060,1542.086060,51800
2004-06-06,1538.463013,1538.499023,1456.321045,1472.072021,1472.072021,51200
2004-06-13,1471.446045,1491.686035,1411.031006,1427.301025,1427.301025,50400
2004-06-20,1421.828003,1456.130005,1399.390991,1401.113037,1401.113037,45000
2004-06-27,1396.360962,1447.612061,1376.218018,1441.189941,1441.189941,50800
2004-07-04,1440.170044,1466.784058,1426.947998,1430.654053,1430.654053,42200
2004-07-11,1426.250977,1458.385010,1378.911987,1456.130005,1456.130005,60000
2004-07-18,1456.770996,1465.839966,1387.261963,1407.395996,1407.395996,57600
2004-07-25,1401.843018,1409.119019,1366.503052,1386.202026,1386.202026,46800
2004-08-01,1381.876953,1424.552979,1363.692993,1390.461060,1390.461060,51500
2004-08-08,1388.083984,1404.722046,1357.078979,1368.449951,1368.449951,38800
2004-08-15,1366.515991,1371.234009,1327.769043,1341.738037,1341.738037,37800
2004-08-22,1339.932983,1347.151001,1314.599976,1320.614014,1320.614014,34800
2004-08-29,1318.317993,1360.754028,1303.187988,1327.115967,1327.115967,39900
2004-09-05,1326.458984,1326.873047,1270.937012,1287.081055,1287.081055,33800
2004-09-12,1285.318970,1415.640015,1259.432007,1414.702026,1414.702026,102800
2004-09-19,1423.972046,1496.213989,1408.609985,1435.562988,1435.562988,170000
2004-09-26,1452.508057,1466.401978,1390.683960,1396.699951,1396.699951,60200
2004-10-03,1396.699951,1423.203979,1373.927979,1422.928955,1422.928955,13800
2004-10-10,1424.224976,1437.572021,1312.550049,1330.517944,1330.517944,85200
2004-10-17,1332.520996,1361.813965,1294.041016,1329.354980,1329.354980,69400
2004-10-24,1337.254028,1356.630981,1289.873047,1320.536011,1320.536011,93000
2004-10-31,1317.657959,1338.264038,1290.988037,1305.128052,1305.128052,60200
2004-11-07,1303.521973,1379.859985,1292.909058,1352.217041,1352.217041,81200
2004-11-14,1354.478027,1380.076050,1350.520996,1379.959961,1379.959961,66400
2004-11-21,1381.578979,1387.342041,1348.406006,1356.727051,1356.727051,73200
2004-11-28,1354.574951,1354.574951,1324.552979,1337.197021,1337.197021,55200
2004-12-05,1337.807007,1352.454956,1316.642944,1317.717041,1317.717041,55600
